Frames	RMSD Values
0	0.0
30	0.88623947
31	1.0537935
32	1.014835
33	1.0828682
34	1.0983317
35	1.0626196
36	1.135743
37	1.1761216
38	1.3451444
39	1.4523057
40	1.5040364
41	1.4985285
42	1.4644738
43	1.4581629
44	1.4201447
45	1.3017253
46	1.2737654
47	1.2440156
48	1.2047833
49	1.2626848
50	1.2959969
51	1.3959534
52	1.3580812
53	1.3645594
54	1.3308121
55	1.3664683
56	1.2263893
57	1.1698798
58	1.2796496
59	1.2978774
60	1.3016688
61	1.2943432
62	1.2964731
63	1.3392674
64	1.4144433
65	1.4693047
66	1.4714353
67	1.40256
68	1.3115962
69	1.3616415
